"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Normalized Power® (NP®)","Avg Power","Avg W/kg","Max Power","Max W/kg","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1 - 3","12:05","12:05","2.54","4:46","4:45","127","138","7","2","169","255","49.0% L / 51.0% R","1.24","10.0","7.9","413","410","5.13","464","5.80","179","4:20","173","12:03","4:45"
"","","Warm Up","1","4:41.2","4:41.2","1.00","4:41","4:40","122","133","3","0","169","253","48.7% L / 51.3% R","1.25","10.0","7.9","417","413","5.16","464","5.80","67","4:20","172","4:41.2","4:41"
"","","Warm Up","2","4:41.5","9:22.7","1.00","4:42","4:40","130","138","1","0","171","253","49.2% L / 50.8% R","1.25","9.7","7.6","420","419","5.24","451","5.64","72","4:37","173","4:41.5","4:42"
"","","Warm Up","3","2:42.1","12:05","0.54","5:02","5:04","129","137","2","2","166","262","49.3% L / 50.7% R","1.20","10.3","8.4","389","389","4.86","444","5.55","39","4:41","172","2:41","5:00"
"","1","Run","4 - 6","12:00","24:05","3.00","4:00","4:00","153","162","4","4","176","230","48.5% L / 51.5% R","1.42","10.1","6.9","484","484","6.05","527","6.59","210","3:50","180","12:00","4:00"
"","","Run","4","3:58.3","16:03","1.00","3:58","4:01","148","154","0","2","176","230","48.7% L / 51.3% R","1.42","10.2","7.0","480","484","6.05","527","6.59","68","3:54","179","3:58.3","3:58"
"","","Run","5","3:59.5","20:03","1.00","4:00","3:59","154","162","0","2","176","230","48.4% L / 51.6% R","1.43","10.1","6.8","492","491","6.14","525","6.56","70","3:50","180","3:59.5","4:00"
"","","Run","6","4:02.5","24:05","1.00","4:03","4:01","157","159","4","0","177","230","48.5% L / 51.5% R","1.40","9.9","6.8","478","478","5.98","511","6.39","71","3:57","179","4:02","4:02"
"","","Rest","7","3:00","27:05","0.54","5:33","5:26","134","158","1","0","166","268","49.2% L / 50.8% R","1.12","10.0","8.7","383","370","4.63","500","6.25","41","4:04","179","2:58","5:29"
"","2","Run","8 - 10","12:01","39:06","3.00","4:00","4:02","156","163","3","4","179","225","48.8% L / 51.2% R","1.39","9.8","6.8","475","476","5.95","511","6.39","212","3:53","184","12:01","4:00"
"","","Run","8","3:57.8","31:03","1.00","3:58","4:02","153","159","0","2","179","225","48.9% L / 51.1% R","1.38","9.7","6.8","469","473","5.91","505","6.31","69","3:53","184","3:57.8","3:58"
"","","Run","9","4:00.3","35:03","1.00","4:00","4:01","157","163","0","2","179","225","48.7% L / 51.3% R","1.40","9.7","6.7","479","478","5.98","509","6.36","71","3:57","182","4:00.3","4:00"
"","","Run","10","4:03.1","39:06","1.00","4:03","4:01","160","163","3","0","179","225","48.8% L / 51.2% R","1.39","9.8","6.8","475","475","5.94","511","6.39","72","3:55","182","4:03","4:03"
"","","Rest","11","3:00","42:06","0.57","5:15","5:10","141","158","1","0","167","262","49.3% L / 50.7% R","1.16","10.1","8.4","395","385","4.81","497","6.21","43","4:07","180","2:58","5:11"
"","3","Run","12 - 14","12:00","54:07","3.00","4:00","4:01","160","167","3","5","177","226","48.9% L / 51.1% R","1.41","10.0","6.9","477","478","5.98","541","6.76","214","3:42","183","12:00","4:00"
"","","Run","12","4:00.5","46:07","1.00","4:01","4:02","156","164","0","2","177","225","49.0% L / 51.0% R","1.40","10.1","7.0","472","473","5.91","507","6.34","71","3:48","183","4:00.5","4:01"
"","","Run","13","3:58.6","50:06","1.00","3:59","4:00","161","167","0","2","177","226","48.9% L / 51.1% R","1.42","9.9","6.7","480","481","6.01","541","6.76","71","3:42","182","3:58.6","3:59"
"","","Run","14","4:01.4","54:07","1.00","4:01","4:00","161","167","3","0","177","228","48.8% L / 51.2% R","1.41","10.1","6.9","480","480","6.00","510","6.38","72","3:57","181","4:01","4:01"
"","","Cool Down","15 - 17","11:41","1:05:48","2.45","4:46","4:47","142","164","2","5","171","247","49.1% L / 50.9% R","1.23","9.9","7.8","408","404","5.05","486","6.08","183","4:04","175","11:40","4:46"
"","","Cool Down","15","4:44.9","58:52","1.00","4:45","4:45","147","164","2","1","170","248","49.1% L / 50.9% R","1.24","10.0","7.8","416","409","5.11","486","6.08","74","4:04","175","4:44.9","4:45"
"","","Cool Down","16","4:44.4","1:03:36","1.00","4:44","4:46","139","142","0","3","172","244","49.2% L / 50.8% R","1.23","9.7","7.7","402","402","5.03","417","5.21","75","4:40","174","4:44","4:44"
"","","Cool Down","17","2:11.6","1:05:48","0.45","4:51","4:53","137","140","0","1","171","249","49.0% L / 51.0% R","1.20","9.7","7.8","400","400","5.00","421","5.26","34","4:48","174","2:11","4:50"
"","Summary","--","--","1:05:48","1:05:48","15.10","4:21","4:21","147","167","21","21","174","239","48.9% L / 51.1% R","1.32","9.9","7.4","450","444","5.55","541","6.76","1,082","3:42","184","1:05:43","4:21"